question_id,question,reference,candidate,human_score,notes
3d3896ce-b736-4e9a-bb7e-cb4608cdd29a,Antibody-dependent enhancement is implicated in the immunopathogenesis of which disease?,Dengue hemorrhagic fever,Dengue fever,,
3ee700bc-5cac-4228-b0a2-5164512b90e4,As we move from anterior to posterior gingival embrasure become,Smaller,Narrower and deeper.,,
43f1ea33-49ee-498f-93d6-b2beae375a55,"A 12 years old boy develops sore throat of 4 day s duration. On examination, yellow grayish patch seen over both the tonsils and foul smell coming from his mouth. Which of the following non-suppurative complication is of concern?",Both acute rheumatic fever and acute glomerulonephritis,Rheumatic fever,,
44c704bc-4331-45a6-b6a8-dd8a5a0b7d18,Which of the following hormone is/are under inhibitory of hypothalamus?,Both prolactin and growth hormone,"Growth hormone, Prolactin, FSH, LH, TSH, ACTH, Melatonin, Insulin, Glucagon, Thyroxine, Adrenaline, Noradrenaline, Estrogen, Progesterone, Testosterone, Cortisol, Aldosterone, Parathyroid hormone, Calcitonin, Oxytocin, Vasopressin, Renin, Angiotensin, Erythropoietin, Renin",,
59fcd56f-73e9-49e5-8cd0-8097402935ec,Immunologicaly active cells are:,Plasma cells,T cells and B cells are immunologically active cells.,,
5eb13f65-9515-424e-ac36-0b92caf71771,"SCC present on lateral margin of tongue of staging T2N0, options of treatment is",Remove Lymph node I-IV along with,Surgery is the treatment of choice for SCC of tongue.,,
6920ce2b-f9c9-49aa-9e6e-c94aeb13e709,Endocrine glands that are not influenced by the pituitary gland include the:,"Adrenal medulla, parathyroids, and the islets of langerhans","Thyroid, parathyroid, and adrenal glands are not influenced by the pituitary gland.",,
6ccd520c-4355-48c5-8635-66b64dd157f1,Antempasterior relation of jaws is measured by:,ANB angle,Cephalometric radiograph,,
01731260-fa5c-45ae-bbf3-5aed1b1cb9b9,Which of the following are the predominant connective tissue cells of the periodontal Ligament?,Fibroblasts,Fibroblasts and fibrocytes are the predominant connective tissue cells of the periodontal ligament.,,
0190a0f3-416a-4d56-a172-7738b023fd28,A patient has seasonal allergic rhinitis and is on terfenadine. He develops cardiac arrhythmias after a course of antibiotics. Which of the following antibiotic could have been given:,Erythromycin,Erythromycin,,
05898954-fc92-4bad-9b79-bfc238a3d416,The special visceral afferent fibres of the facial nerve are located in which nuclei:,Nucleus of tractus solitarius,Gustatory nucleus and the nucleus of tractus solitarius.,,
05ae5b1d-15cd-4035-99a7-d6cae3e4909e,The biofilms found on tooth surfaces are termed as:,Dental plaque,Dental plaque,,
0778d314-486a-4af0-b2bd-cab83e7e2166,"A 10 year old girl presented with fever convulsions, neck rigidity. CSF findings are protein 150 mg, sugar 40 mg, chloride 2500 mg with lymphadenopathy –",Tuberculous meningitis,Tuberculous meningitis is the most likely diagnosis.,,
0ba9328b-c265-4d98-8259-314789a2f00d,Brachytherapy is:,Irradiation of tissues by implants within the tissues,Radiation therapy in which radioactive material is placed in or near the tumor.,,
102cc189-c373-4850-a523-676b18741b16,High angle case is:,FMP > 35°,A case in which the mandible is positioned more anteriorly than the maxilla is called a high angle case.,,
10b04be8-a89b-4858-b1b6-8af09fe6a716,Major mechanism of transport of drugs across biological membranes is by ?,Passive diffusion,Passive diffusion.,,
12342b20-b7a0-4f14-91ed-c764fc51ed7b,Sensory supply of cornea is by?,Nasolacrimal nerve (probably printing mistake - probably Nasociliary nerve).,Trigeminal nerve (V),,
13f3fee3-7298-41b1-9d44-a7d68b22db11,Submandibular calculus can be removed by:,Incision of the duct and removal of calculus,Surgical removal of the calculus is the treatment of choice.,,
157101aa-f928-4f25-8b8a-51e712b3e7ff,The probability of a test detecting a truly positive person from the population of diseased is the,Sensitivity of the test,Sensitivity,,
16e734ad-7969-42f1-8bbe-46cd79dd7bdd,IQ range 90-109 is:,Average.,Normal intelligence,,
178bda2c-c1fc-47dd-8d73-ef6e7ddf0d22,. The most common fungal infection in the neonates transmitted by caregiver's hand is:,Candida parapsilosis,Candidiasis,,
18ce280d-98c7-4a22-b4b7-038974b16c71,"All are true about nitric oxide, EXCEPT:",Acts via cAMP,It is a free radical.,,
1920da28-e234-4f1e-8a02-8eb426ca5478,Function of molybdenum in base metal alloys,Increases strength,Molybdenum is used in base metal alloys to improve strength and hardness of the alloy.,,
20c4de15-f187-4a56-941f-0aa7bc2702ba,"A 60-year-old chronic smoker presented with progres-sive jaundice, pruritus and clay colored stools for 2 months. History of waxing and waning of jaundice was present. A CT scan revealed dilated main pancre-atic duct and common bile duct. What is the likely di-agnosis?",Periampullary carcinoma,Pancreatic cancer (adenocarcinoma),,
17ca6005-346f-4f14-b1a3-430d3667d7f0,Black deposits on conjunctiva in a patient with glaucoma are seen with the use of:,Epinephrine,Pilocarpine,,
17f11735-64fc-47ec-b06b-c9124e27c1cf,The radiographic view of choice for diagnosing horizontally favorable and unfavorable # is:,Lateral Oblique view,Occlusal view,,
