arm,category,question_id,subject,gold,predicted,margin,question,gold_text,predicted_text,retrieved,human_label,notes
rag-external,fixed_by_retrieval,cfa28a58-dd1f-4852-b34f-d150a9fd9011,Forensic Medicine,D,D,6.0,Which of the following statement is false statement about snake-bites?,Neostigmine has a role in krait bite.,Neostigmine has a role in krait bite.,,,
rag-external,fixed_by_retrieval,163bb472-c103-427d-af80-65e0d820cfb6,Pathology,A,A,4.75,HOX gene is responsible for which malformation,Polysyndactyly,Polysyndactyly,,,
rag-external,fixed_by_retrieval,d0aaea50-8928-4b40-ad20-7161f679bbc0,Anatomy,A,A,5.75,Which of the following marked muscles is Involved in Opening of jaw?,A,A,,,
rag-external,fixed_by_retrieval,5f65e5aa-a984-49bd-aad6-0292fa0e07d8,Dental,D,D,4.75,"On rubber dam application gingiva is seen protruding out of margins, it can be seen due to?",Holes placed too close together,Holes placed too close together,,,
rag-external,fixed_by_retrieval,4aee5e25-9f51-4b6d-9950-0b6f19f7c9a0,Pathology,C,C,8.0,Gardner syndrome does not include:,Osteosarcoma,Osteosarcoma,,,
rag-external,fixed_by_retrieval,5695dba4-4624-4960-954f-6e7133491216,Surgery,B,B,15.0,Cleft in facial region;,Absence or deficiency of mesodermal mass or other failure to penetrate ectodermal grooves,Absence or deficiency of mesodermal mass or other failure to penetrate ectodermal grooves,,,
rag-external,fixed_by_retrieval,c7d3b43e-bcf6-4d61-bca9-552c07da0d6f,Pediatrics,D,D,5.5,All of the following groups of newborns are at an increased risk of hypoglycemia except –,Post term infant,Post term infant,,,
rag-external,near_miss,c16a9d6e-5e30-4209-94b1-1f9e8444c9c9,Dental,B,A,0.0,Bakers anchorage is a type of:,Intermaxillary anchorage,Intramaxillary anchorage,,,
rag-external,near_miss,4b912603-51df-4c8b-89de-6d845f666cb1,Gynaecology & Obstetrics,D,A,0.0,True about diabetic mother is:a) Hyperglycemia occurs in all infants of diabetic mothersb) High incidence of congenital heart anomalies is commonc) Small babyd) Beta agonist drugs are CI during delivery,bd,c,,,
rag-external,wrong,398eda58-55e7-4a7f-be30-0d929eeba539,Medicine,C,A,0.75,Coarse tremors of tongue is seen in all except:,Thyrotoxicosis,Parkinsonism,,,
rag-external,wrong,9b33051b-e39d-4342-acd7-8bc45abdf2d6,Forensic Medicine,A,D,0.25,A person of eonism derives pleasure from.,Wearing clothes of opposite sex,Seeing the opposite partner nude,,,
rag-external,wrong,0acff0e8-a28e-4c44-ba99-7bf1ea71951f,Gynaecology & Obstetrics,C,D,0.75,Chicken pox infection in mother most dangerous for the baby when it occurs at -,28-37weeks,8-14weeks,,,
rag-external,wrong,0c9337fa-55ba-4441-8da7-99d451749ccf,Social & Preventive Medicine,C,B,0.75,Broken ampula is thrown into which coloured bin?,Blue,Yellow,,,
rag-external,wrong,85d9893b-ffe0-4b0d-9aac-a2e34d1fa0c3,Dental,C,B,0.75,A patient with acute history of blistering and denudation involving >30% BSA along with erosions of the lips with hemorrhagic crusting and other mucosa for few days. What is the most common triggering factor?,Drug induced,Viral infection,,,
rag-external,wrong,aae446ea-6c3c-44e3-9fd2-bd056d6d4a1a,Surgery,C,A,0.5,LA deposited in Inferior alveolar nerve block at,Lingula,Sigmoid notch,,,
rag-external,wrong,71a5084e-36a1-4cc3-bee0-9de613f5fd24,Pathology,B,D,0.25,"Marked reduction in amount of dentin, widening of predentin layer, presence of large area of interglobular dentin and irregular pattern of dentin is seen in",Odonto dysplasia,Dentinogenesis imperfecta,,,
rag-external,wrong,4ed16846-22f2-40b6-a993-f07081e970f1,Dental,A,B,0.25,Growth of the maxilla in the vertical direction is due to:,Growth of the alveolus,Growth at sutures,,,
rag-external,wrong,2f0e50d9-79cb-4de8-b650-3b3815da5266,Pediatrics,B,A,0.75,"A 2-year-old child was brought to the emergency department at 3 AM. The child presented with fever and cough. On examination, respiratory rate was 36/ min, temperature was 39degC and saturation on pulse oximetry was 96%. The child had barking cough and stridor only on crying. Otherwise, the child was hydrated, able to drink and consolable. The nest step in management would be:",Single dose of dexamethasone,Racemic epinephrine nebulization,,,
rag-external,wrong,bd1e4b62-2aed-4eb5-98cf-1b3573fed966,Pathology,C,B,0.75,For wound healing which mineral is helpful?,Magnesium,Selenium,,,
